These files are part of the Microsoft Software Development Kit for Microsoft Windows for Pocket PC 2002 (the “SDK”).  Please refer to the End-User License for the SDK for your rights to use these files.  ,,

TZ Index,UTC,Description
185,+05:00,"West Asia Standard Time : (GMT+05:00) Islamabad, Karachi, Tashkent"
190,+05:30,"India Standard Time : (GMT+05:30) Bombay, Calcutta, Madras, New Delhi"
193,+05:45,Nepal Standard Time : (GMT+05:45) Kathmandu
195,+06:00,"Central Asia Standard Time : (GMT+06:00) Astana, Dhaka"
197,+06:00,"Central Asia North Standard Time : (GMT+06:00) Almaty, Novosibirsk"
200,+06:00,Sri Lanka Standard Time : (GMT+06:00) Sri Jayawardenepura
203,+06:30,Myanmar Standard Time : (GMT+06:30) Yangoon
205,+07:00,"SE Asia Standard Time : (GMT+07:00) Bangkok, Hanoi, Jakarta"
207,+07:00,North Asia Standard Time : (GMT+07:00) Krasnoyarsk
210,+08:00,"China Standard Time : (GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi"
215,+08:00,Singapore Standard Time : (GMT+08:00) Singapore
220,+08:00,Taipei Standard Time : (GMT+08:00) Taipei
225,+08:00,West Australia Standard Time : (GMT+08:00) Perth
227,+08:00,"North Asia East Standard Time : (GMT+08:00) Irkutsk, Ulaanbatar"
230,+09:00,Korea Standard Time : (GMT+09:00) Seoul
235,+09:00,"Tokyo Standard Time : (GMT+09:00) Osaka, Sapporo, Tokyo"
240,+09:00,Yakutsk Standard Time : (GMT+09:00) Yakutsk
245,+09:30,AUS Central Standard Time : (GMT+09:30) Darwin
250,+09:30,Cen. Australia Standard Time : (GMT+09:30) Adelaide
255,+10:00,"Sydney Standard Time : (GMT+10:00) Canberra, Melbourne, Sydney"
260,+10:00,E Australia Standard Time : (GMT+10:00) Brisbane
265,+10:00,Tasmania Standard Time : (GMT+10:00) Hobart
270,+10:00,Vladivostok Standard Time : (GMT+10:00) Vladivostok
275,+10:00,"West Pacific Standard Time : (GMT+10:00) Guam, Port Moresby"
280,+11:00,"Central Pacific Standard Time : (GMT+11:00) Magadan, Solomon Is., New Caledonia"
285,+12:00,"Fiji Standard Time : (GMT+12:00) Fiji, Kamchatka, Marshall Is."
290,+12:00,"New Zealand Standard Time : (GMT+12:00) Auckland, Wellington"
300,+13:00,Tonga Standard Time : (GMT+13:00) Nuku'alofa
